epoch,train_loss,train_acc_pct,test_acc_pct
1,3.07736073,10.149068,18.230642
2,2.93612237,23.037267,28.922957
3,2.80827723,35.124224,38.360512
4,2.69769876,41.161491,40.689386
5,2.60000335,42.21118,41.040914
6,2.51235945,42.78882,42.603261
7,2.43272397,44.354037,43.496729
8,2.3593246,45.689441,44.9419
9,2.29191308,46.732919,45.581486
10,2.23062763,47.652174,46.182013
11,2.1740583,48.149068,47.490479
12,2.12182987,49.267081,47.900596
13,2.07407666,49.652174,48.354653
14,2.03003701,50.335404,48.794063
15,1.98935049,51.062112,49.272532
16,1.95151345,51.36646,50.175764
17,1.91670079,51.950311,50.995996
18,1.88428812,52.267081,51.303584
19,1.85394449,53.037267,51.767406
20,1.82552919,53.273292,52.050581
21,1.79879981,53.360248,52.343521
22,1.77384218,54.006211,52.934284
23,1.75056324,54.385093,53.295577
24,1.72850239,54.857143,53.964457
25,1.70791282,55.242236,54.47222
26,1.68920268,55.490683,54.789571
27,1.67049281,55.925466,55.053217
28,1.6536591,55.956522,55.297334
29,1.63777872,56.453416,55.390099
30,1.62274393,57.0,55.697686
