epoch,train_loss,train_acc,test_loss,test_acc
1,2.300947,10.0714,2.282729,11.29
2,2.259873,14.9286,2.234776,23.77
3,2.20843,29.0,2.165783,30.76
4,2.139577,29.5857,2.085187,30.39
5,2.06763,31.2714,2.010233,33.6
6,2.000907,34.3857,1.946348,36.05
7,1.94229,35.8286,1.891454,37.7
8,1.89221,36.9714,1.841745,39.78
9,1.844443,38.4857,1.798367,40.94
10,1.802579,39.9,1.755968,42.62
11,1.764215,41.5286,1.719306,43.5
12,1.730811,42.5,1.687651,44.91
13,1.698479,43.5143,1.658238,46.2
14,1.66955,44.8571,1.629341,47.28
15,1.64347,45.8571,1.602883,48.45
16,1.618125,47.1714,1.581053,49.17
17,1.594985,48.7429,1.554734,50.88
18,1.570974,50.1714,1.53085,51.86
19,1.545259,51.3429,1.507251,52.83
20,1.524123,52.0,1.48412,54.27
21,1.503014,53.2143,1.462062,55.8
22,1.481489,54.1286,1.439283,56.4
23,1.459579,55.3143,1.418236,57.27
24,1.439347,56.5143,1.395953,58.19
25,1.418732,57.1,1.374063,58.96
26,1.397547,57.9,1.353524,59.47
27,1.377935,58.5857,1.333425,60.54
28,1.356727,59.3286,1.313933,61.41
29,1.337567,59.9857,1.295397,62.06
30,1.323425,60.3286,1.276687,62.6
