============================================================
 Job        : hng_ang_l5
 Job ID     : 14263
 Node       : hopper002
 CPUs       : 16
 Start      : Sat Mar 14 09:55:26 PM MDT 2026
============================================================

[ENV] Python     : /home/msrahman3/work/Nowmi/Sok/quid_env/bin/python
[ENV] Python ver : Python 3.10.19
[ENV] Working dir: /home/msrahman3/work/Nowmi/Sok/huang-backdoor/MNIST/angle/layer5
[ENV] CUDA avail : True
[ENV] GPU info   : 
[ENV] PennyLane  : 0.42.3

[Data] Checking MNIST files in /home/msrahman3/work/Nowmi/Sok/huang-backdoor/MNIST/MNIST ...
       FOUND    train-images-idx3-ubyte
       FOUND    train-labels-idx1-ubyte
       FOUND    t10k-images-idx3-ubyte
       FOUND    t10k-labels-idx1-ubyte

[RUN] Starting at Sat Mar 14 09:55:45 PM MDT 2026

[Config] Main device : cuda
[Config] CPU threads : 16
[Config] N_LAYERS    : 5
====================================================================
 Huang & Zhang (2023) Backdoor — Angle QMLP Replication
 Qubits=9  Layers=5  Encoding=Angle
 Target=7  eps=0.2  (c,sigma)=(1.0,2.0)
 Poison ratios : [0.1, 0.3, 0.5]
 Runs/ratio    : 1   CPU threads: 16
====================================================================
[Data] Full train : (60000, 9)   Test : (10000, 9)
[Data] Stratified train: (7000, 9)  Test: (10000, 9)

====================================================================
 PHASE 1 — Proxy model training (clean, seed=42)
====================================================================
[PennyLane] lightning.qubit active
  Epoch  6 | Batch   70 | Acc:  27.14%  Loss: 2.0759
  Epoch  6 | Batch   80 | Acc:  27.46%  Loss: 2.0744
  Epoch  6 | Batch   90 | Acc:  27.81%  Loss: 2.0516
  Epoch  6 | Batch  100 | Acc:  27.94%  Loss: 2.0477
  Epoch  6 | Batch  110 | Acc:  28.07%  Loss: 2.0434
  [Proxy] Epoch  6  tr_loss=2.0801  tr_acc=28.07%  te_loss=2.0345  te_acc=31.53%
  Epoch  7 | Batch   10 | Acc:  31.09%  Loss: 2.0393
  Epoch  7 | Batch   20 | Acc:  29.30%  Loss: 2.0512
  Epoch  7 | Batch   30 | Acc:  29.90%  Loss: 2.0237
  Epoch  7 | Batch   40 | Acc:  30.16%  Loss: 2.0204
  Epoch  7 | Batch   50 | Acc:  29.94%  Loss: 2.0092
  Epoch  7 | Batch   60 | Acc:  30.08%  Loss: 2.0168
  Epoch  7 | Batch   70 | Acc:  30.40%  Loss: 2.0160
  Epoch  7 | Batch   80 | Acc:  30.68%  Loss: 1.9897
  Epoch  7 | Batch   90 | Acc:  30.50%  Loss: 2.0159
  Epoch  7 | Batch  100 | Acc:  30.77%  Loss: 1.9907
  Epoch  7 | Batch  110 | Acc:  30.83%  Loss: 1.9597
  [Proxy] Epoch  7  tr_loss=2.0121  tr_acc=30.83%  te_loss=1.9677  te_acc=31.87%
  Epoch  8 | Batch   10 | Acc:  31.72%  Loss: 1.9679
  Epoch  8 | Batch   20 | Acc:  31.33%  Loss: 1.9875
  Epoch  8 | Batch   30 | Acc:  30.31%  Loss: 1.9719
  Epoch  8 | Batch   40 | Acc:  31.45%  Loss: 1.9476
  Epoch  8 | Batch   50 | Acc:  31.69%  Loss: 1.9544
  Epoch  8 | Batch   60 | Acc:  32.06%  Loss: 1.9391
  Epoch  8 | Batch   70 | Acc:  31.94%  Loss: 1.9548
  Epoch  8 | Batch   80 | Acc:  31.74%  Loss: 1.9420
  Epoch  8 | Batch   90 | Acc:  31.77%  Loss: 1.9492
  Epoch  8 | Batch  100 | Acc:  31.91%  Loss: 1.9311
  Epoch  8 | Batch  110 | Acc:  31.91%  Loss: 1.9504
  [Proxy] Epoch  8  tr_loss=1.9542  tr_acc=31.91%  te_loss=1.9139  te_acc=35.14%
  Epoch  9 | Batch   10 | Acc:  35.00%  Loss: 1.9002
  Epoch  9 | Batch   20 | Acc:  34.22%  Loss: 1.9442
  Epoch  9 | Batch   30 | Acc:  34.79%  Loss: 1.8861
  Epoch  9 | Batch   40 | Acc:  33.83%  Loss: 1.9240
  Epoch  9 | Batch   50 | Acc:  34.22%  Loss: 1.8908
  Epoch  9 | Batch   60 | Acc:  34.14%  Loss: 1.9183
  Epoch  9 | Batch   70 | Acc:  34.08%  Loss: 1.9191
  Epoch  9 | Batch   80 | Acc:  34.02%  Loss: 1.9028
  Epoch  9 | Batch   90 | Acc:  33.73%  Loss: 1.9111
  Epoch  9 | Batch  100 | Acc:  33.75%  Loss: 1.8853
  Epoch  9 | Batch  110 | Acc:  33.99%  Loss: 1.8833
  [Proxy] Epoch  9  tr_loss=1.9059  tr_acc=33.99%  te_loss=1.8668  te_acc=37.51%
  Epoch 10 | Batch   10 | Acc:  34.06%  Loss: 1.8813
  Epoch 10 | Batch   20 | Acc:  34.61%  Loss: 1.8686
  Epoch 10 | Batch   30 | Acc:  34.38%  Loss: 1.8909
  Epoch 10 | Batch   40 | Acc:  34.92%  Loss: 1.8579
  Epoch 10 | Batch   50 | Acc:  34.69%  Loss: 1.8881
  Epoch 10 | Batch   60 | Acc:  34.92%  Loss: 1.8619
  Epoch 10 | Batch   70 | Acc:  35.58%  Loss: 1.8307
  Epoch 10 | Batch   80 | Acc:  35.27%  Loss: 1.8712
  Epoch 10 | Batch   90 | Acc:  35.45%  Loss: 1.8374
  Epoch 10 | Batch  100 | Acc:  35.47%  Loss: 1.8415
  Epoch 10 | Batch  110 | Acc:  35.54%  Loss: 1.8528
  [Proxy] Epoch 10  tr_loss=1.8620  tr_acc=35.54%  te_loss=1.8258  te_acc=38.55%
  Epoch 11 | Batch   10 | Acc:  32.66%  Loss: 1.8571
  Epoch 11 | Batch   20 | Acc:  34.53%  Loss: 1.8391
  Epoch 11 | Batch   30 | Acc:  35.47%  Loss: 1.8361
  Epoch 11 | Batch   40 | Acc:  35.16%  Loss: 1.8635
  Epoch 11 | Batch   50 | Acc:  35.56%  Loss: 1.8317
  Epoch 11 | Batch   60 | Acc:  35.52%  Loss: 1.8234
  Epoch 11 | Batch   70 | Acc:  35.87%  Loss: 1.7904
  Epoch 11 | Batch   80 | Acc:  36.15%  Loss: 1.8276
  Epoch 11 | Batch   90 | Acc:  36.55%  Loss: 1.8177
  Epoch 11 | Batch  100 | Acc:  36.64%  Loss: 1.7900
  Epoch 11 | Batch  110 | Acc:  36.83%  Loss: 1.7873
  [Proxy] Epoch 11  tr_loss=1.8240  tr_acc=36.83%  te_loss=1.7905  te_acc=39.60%
  Epoch 12 | Batch   10 | Acc:  38.28%  Loss: 1.7911
  Epoch 12 | Batch   20 | Acc:  38.52%  Loss: 1.7768
  Epoch 12 | Batch   30 | Acc:  37.86%  Loss: 1.8028
  Epoch 12 | Batch   40 | Acc:  36.56%  Loss: 1.8320
  Epoch 12 | Batch   50 | Acc:  37.19%  Loss: 1.7788
  Epoch 12 | Batch   60 | Acc:  37.32%  Loss: 1.7612
  Epoch 12 | Batch   70 | Acc:  37.63%  Loss: 1.7848
  Epoch 12 | Batch   80 | Acc:  37.56%  Loss: 1.7758
  Epoch 12 | Batch   90 | Acc:  37.31%  Loss: 1.8315
  Epoch 12 | Batch  100 | Acc:  37.27%  Loss: 1.8067
  Epoch 12 | Batch  110 | Acc:  37.54%  Loss: 1.7606
  [Proxy] Epoch 12  tr_loss=1.7911  tr_acc=37.54%  te_loss=1.7618  te_acc=40.40%
  Epoch 13 | Batch   10 | Acc:  41.41%  Loss: 1.7648
  Epoch 13 | Batch   20 | Acc:  40.00%  Loss: 1.7717
  Epoch 13 | Batch   30 | Acc:  39.95%  Loss: 1.7273
  Epoch 13 | Batch   40 | Acc:  39.38%  Loss: 1.7705
