epoch,train_acc,test_acc,train_loss
1,12.4429,23.95,2.298124
2,24.7143,29.58,2.223909
3,30.5571,37.23,2.117477
4,36.6429,40.64,1.994941
5,39.0857,41.27,1.881539
6,40.5286,44.06,1.791864
7,43.0286,45.86,1.72344
8,45.0857,47.96,1.667096
9,47.1286,49.84,1.617478
10,48.3714,51.24,1.577385
11,49.4143,52.06,1.537419
12,50.7286,53.69,1.50618
13,51.5571,53.36,1.476185
14,51.8429,55.07,1.44966
15,52.7286,55.29,1.424968
16,53.5714,55.85,1.403183
17,54.1143,56.2,1.384174
18,54.4714,56.66,1.366297
19,55.2429,57.08,1.347722
20,55.6143,57.44,1.331985
21,55.9,57.55,1.31757
22,56.0857,58.49,1.30569
23,56.3714,58.37,1.2934
24,56.7857,58.42,1.281616
25,57.4286,59.18,1.271943
26,57.3286,59.64,1.261834
27,57.4286,60.07,1.249575
28,58.0,60.45,1.239987
29,58.3857,60.71,1.231013
30,58.7286,60.88,1.219784
