epoch,train_acc,test_acc,train_loss
1,11.3,15.97,2.296137
2,17.3,20.17,2.218636
3,24.0143,27.28,2.116338
4,27.3,29.32,2.036786
5,30.3,34.93,1.969797
6,34.7143,36.83,1.90138
7,38.2714,41.91,1.834209
8,41.2286,44.4,1.772449
9,43.3286,45.59,1.718735
10,44.7714,46.65,1.672382
11,45.8,48.64,1.632691
12,46.8714,49.1,1.59782
13,48.0429,50.16,1.568506
14,48.5714,51.47,1.543085
15,49.0571,52.19,1.51999
16,49.9714,51.48,1.499835
17,50.5714,53.0,1.483675
18,51.3714,53.25,1.46576
19,51.6857,53.36,1.453514
20,51.6,53.86,1.440085
21,52.4143,54.47,1.427808
22,52.4143,55.08,1.415923
23,53.4143,55.14,1.404615
24,53.3143,55.18,1.398216
25,53.5429,55.7,1.386593
26,53.9857,56.53,1.377768
27,54.0,56.53,1.368361
28,54.5714,56.59,1.361717
29,54.5143,56.98,1.358029
30,54.7286,56.9,1.348232
