epoch,train_acc,test_acc,train_loss
1,11.9857,19.07,2.289786
2,23.2286,31.24,2.187046
3,31.5286,33.94,2.032712
4,33.2714,35.8,1.910549
5,34.0429,37.24,1.830338
6,36.0286,37.53,1.780448
7,36.5571,39.72,1.743549
8,37.7286,40.13,1.717975
9,39.4571,42.66,1.695745
10,40.7714,42.88,1.674765
11,41.4143,44.69,1.658349
12,42.8857,44.29,1.642498
13,43.4429,45.2,1.628922
14,43.4429,47.09,1.613806
15,44.6571,47.19,1.601431
16,45.0143,47.56,1.588926
17,45.5857,48.21,1.578001
18,45.7143,48.65,1.565718
19,46.4857,48.74,1.555262
20,46.2714,48.58,1.543412
21,46.9429,49.11,1.534754
22,47.5,50.23,1.523634
23,47.8143,50.16,1.512487
24,48.0571,50.89,1.502016
25,49.0429,51.06,1.492143
26,49.0143,51.38,1.481187
27,49.7857,51.82,1.46926
28,50.3143,52.82,1.456814
29,51.1143,52.99,1.445565
30,51.2,53.9,1.434272
