============================================================
 Job        : hng_mn_ang_l10
 Job ID     : 14264
 Node       : hopper002
 CPUs       : 16
 Start      : Sun Mar 15 06:51:31 PM MDT 2026
============================================================

[ENV] Python     : /home/msrahman3/work/Nowmi/Sok/quid_env/bin/python
[ENV] Python ver : Python 3.10.19
[ENV] Working dir: /home/msrahman3/work/Nowmi/Sok/huang-backdoor/MNIST/angle/layer10
[ENV] CUDA avail : True
[ENV] GPU info   : 
[ENV] PennyLane  : 0.42.3

[Data] Checking MNIST files in /home/msrahman3/work/Nowmi/Sok/huang-backdoor/MNIST/MNIST ...
       FOUND    train-images-idx3-ubyte
       FOUND    train-labels-idx1-ubyte
       FOUND    t10k-images-idx3-ubyte
       FOUND    t10k-labels-idx1-ubyte

[RUN] Starting at Sun Mar 15 06:51:57 PM MDT 2026

[Config] Main device : cuda
[Config] CPU threads : 16
[Config] N_LAYERS    : 10
====================================================================
 Huang & Zhang (2023) Backdoor — Angle QMLP Replication
 Qubits=9  Layers=10  Encoding=Angle
 Target=7  eps=0.2  (c,sigma)=(1.0,2.0)
 Poison ratios : [0.1, 0.3, 0.5]
 Runs/ratio    : 1   CPU threads: 16
====================================================================
[Data] Full train : (60000, 9)   Test : (10000, 9)
[Data] Stratified train: (7000, 9)  Test: (10000, 9)

====================================================================
 PHASE 1 — Proxy model training (clean, seed=42)
====================================================================
[PennyLane] lightning.qubit active
  Epoch  6 | Batch   70 | Acc:  39.06%  Loss: 1.7289
  Epoch  6 | Batch   80 | Acc:  39.63%  Loss: 1.7422
  Epoch  6 | Batch   90 | Acc:  40.09%  Loss: 1.7509
  Epoch  6 | Batch  100 | Acc:  40.22%  Loss: 1.7530
  Epoch  6 | Batch  110 | Acc:  40.46%  Loss: 1.7488
  [Proxy] Epoch  6  tr_loss=1.7806  tr_acc=40.46%  te_loss=1.7139  te_acc=43.19%
  Epoch  7 | Batch   10 | Acc:  41.09%  Loss: 1.7223
  Epoch  7 | Batch   20 | Acc:  41.02%  Loss: 1.7576
  Epoch  7 | Batch   30 | Acc:  41.93%  Loss: 1.7074
  Epoch  7 | Batch   40 | Acc:  42.50%  Loss: 1.7314
  Epoch  7 | Batch   50 | Acc:  42.06%  Loss: 1.7326
  Epoch  7 | Batch   60 | Acc:  41.93%  Loss: 1.7139
  Epoch  7 | Batch   70 | Acc:  41.85%  Loss: 1.7135
  Epoch  7 | Batch   80 | Acc:  41.93%  Loss: 1.6879
  Epoch  7 | Batch   90 | Acc:  42.07%  Loss: 1.6916
  Epoch  7 | Batch  100 | Acc:  42.12%  Loss: 1.6727
  Epoch  7 | Batch  110 | Acc:  42.37%  Loss: 1.6435
  [Proxy] Epoch  7  tr_loss=1.7068  tr_acc=42.37%  te_loss=1.6462  te_acc=44.87%
  Epoch  8 | Batch   10 | Acc:  45.00%  Loss: 1.6587
  Epoch  8 | Batch   20 | Acc:  44.53%  Loss: 1.6411
  Epoch  8 | Batch   30 | Acc:  44.43%  Loss: 1.6366
  Epoch  8 | Batch   40 | Acc:  43.55%  Loss: 1.6784
  Epoch  8 | Batch   50 | Acc:  43.75%  Loss: 1.6549
  Epoch  8 | Batch   60 | Acc:  43.67%  Loss: 1.6592
  Epoch  8 | Batch   70 | Acc:  43.53%  Loss: 1.6372
  Epoch  8 | Batch   80 | Acc:  43.42%  Loss: 1.6502
  Epoch  8 | Batch   90 | Acc:  43.37%  Loss: 1.6402
  Epoch  8 | Batch  100 | Acc:  43.31%  Loss: 1.6516
  Epoch  8 | Batch  110 | Acc:  43.21%  Loss: 1.6558
  [Proxy] Epoch  8  tr_loss=1.6513  tr_acc=43.21%  te_loss=1.5911  te_acc=47.11%
  Epoch  9 | Batch   10 | Acc:  45.16%  Loss: 1.6416
  Epoch  9 | Batch   20 | Acc:  46.72%  Loss: 1.5929
  Epoch  9 | Batch   30 | Acc:  47.24%  Loss: 1.5923
  Epoch  9 | Batch   40 | Acc:  46.41%  Loss: 1.6564
  Epoch  9 | Batch   50 | Acc:  46.12%  Loss: 1.6091
  Epoch  9 | Batch   60 | Acc:  46.07%  Loss: 1.6127
  Epoch  9 | Batch   70 | Acc:  46.27%  Loss: 1.5755
  Epoch  9 | Batch   80 | Acc:  45.96%  Loss: 1.5741
  Epoch  9 | Batch   90 | Acc:  45.59%  Loss: 1.5912
  Epoch  9 | Batch  100 | Acc:  45.53%  Loss: 1.6125
  Epoch  9 | Batch  110 | Acc:  45.41%  Loss: 1.6029
  [Proxy] Epoch  9  tr_loss=1.6056  tr_acc=45.41%  te_loss=1.5481  te_acc=49.43%
